,count,mean,std,min,25%,50%,75%,max
term,113937.0,40.83024829511046,10.436212411246725,12.0,36.0,36.0,36.0,60.0
borrowerapr,113912.0,0.21882765590982514,0.08036408065998765,0.00653,0.15629,0.20976,0.28381,0.51229
borrowerrate,113937.0,0.19276405776876693,0.07481843026322933,0.0,0.134,0.184,0.25,0.4975
lenderyield,113937.0,0.1827009619351045,0.07451580165726042,-0.01,0.1242,0.173,0.24,0.4925
estimatedeffectiveyield,84853.0,0.1686614749036569,0.06846729109245804,-0.1827,0.11567,0.1615,0.2243,0.3199
estimatedloss,84853.0,0.08030585836682264,0.04676351950698252,0.0049,0.0424,0.0724,0.112,0.366
estimatedreturn,84853.0,0.09606829611209974,0.030403107457360797,-0.1827,0.07408,0.0917,0.1166,0.2837
prosperrating_numeric,84853.0,4.07224258423391,1.6732269169600216,1.0,3.0,4.0,5.0,7.0
prosperscore,84853.0,5.950066585742402,2.376500888185821,1.0,4.0,6.0,8.0,11.0
listingcategory_numeric,113937.0,2.7742085538499346,3.996796578842173,0.0,1.0,1.0,3.0,20.0
employmentstatusduration,106312.0,96.07158175934984,94.48060534700831,0.0,26.0,67.0,137.0,755.0
creditscorerangelower,113346.0,685.5677306653962,66.45827450399177,0.0,660.0,680.0,720.0,880.0
creditscorerangeupper,113346.0,704.5677306653962,66.45827450399177,19.0,679.0,699.0,739.0,899.0
currentcreditlines,106333.0,10.317192216903502,5.457866077407287,0.0,7.0,10.0,13.0,59.0
opencreditlines,106333.0,9.260163824964968,5.022644456922232,0.0,6.0,9.0,12.0,54.0
totalcreditlinespast7years,113240.0,26.75453903214412,13.637870618197596,2.0,17.0,25.0,35.0,136.0
openrevolvingaccounts,113937.0,6.969790322722206,4.630969883204335,0.0,4.0,6.0,9.0,51.0
openrevolvingmonthlypayment,113937.0,398.29216145764764,447.15971094154446,0.0,114.0,271.0,525.0,14985.0
inquirieslast6months,113240.0,1.4350847756976333,2.437507075276882,0.0,0.0,1.0,2.0,105.0
totalinquiries,112778.0,5.584404759793577,6.429945710627146,0.0,2.0,4.0,7.0,379.0
currentdelinquencies,113240.0,0.5920522783468739,1.9787067713157822,0.0,0.0,0.0,0.0,83.0
amountdelinquent,106315.0,984.5070592108357,7158.2701566932055,0.0,0.0,0.0,0.0,463881.0
delinquencieslast7years,112947.0,4.154984196127387,10.160215845423483,0.0,0.0,0.0,3.0,99.0
publicrecordslast10years,113240.0,0.3126457082303073,0.7278679686169427,0.0,0.0,0.0,0.0,38.0
publicrecordslast12months,106333.0,0.015094091204047661,0.15409170546260406,0.0,0.0,0.0,0.0,20.0
revolvingcreditbalance,106333.0,17598.706751431822,32936.40178765589,0.0,3121.0,8549.0,19521.0,1435667.0
bankcardutilization,106333.0,0.5613086247919273,0.31791794894738845,0.0,0.31,0.6,0.84,5.95
availablebankcardcredit,106393.0,11210.225447162877,19818.36130903874,0.0,880.0,4100.0,13180.0,646285.0
totaltrades,106393.0,23.230033930803717,11.871310892640993,0.0,15.0,22.0,30.0,126.0
tradesneverdelinquent_percentage,106393.0,0.885897192484468,0.1481791437626966,0.0,0.82,0.94,1.0,1.0
tradesopenedlast6months,106393.0,0.8023272207758029,1.097636653891207,0.0,0.0,0.0,1.0,20.0
debttoincomeratio,105383.0,0.27594660400633886,0.5517588851471955,0.0,0.14,0.22,0.32,10.01
statedmonthlyincome,113937.0,5608.025568224852,7478.497275194578,0.0,3200.333333,4666.666667,6825.0,1750002.916667
totalprosperloans,22085.0,1.42110029431741,0.7640422221614657,0.0,1.0,1.0,2.0,8.0
totalprosperpaymentsbilled,22085.0,22.934344577767714,19.249584285998026,0.0,9.0,16.0,33.0,141.0
ontimeprosperpayments,22085.0,22.271949286846276,18.83042453773391,0.0,9.0,15.0,32.0,141.0
prosperpaymentslessthanonemonthlate,22085.0,0.6136291600633914,2.446827191442561,0.0,0.0,0.0,0.0,42.0
prosperpaymentsonemonthpluslate,22085.0,0.04853973285035092,0.5562852168226039,0.0,0.0,0.0,0.0,21.0
prosperprincipalborrowed,22085.0,8472.311961059542,7395.507649585429,0.0,3500.0,6000.0,11000.0,72499.0
prosperprincipaloutstanding,22085.0,2930.313905818428,3806.635075073749,0.0,0.0,1626.55,4126.72,23450.95
scorexchangeattimeoflisting,18928.0,-3.2232142857142856,50.06356709456583,-209.0,-35.0,-3.0,25.0,286.0
loancurrentdaysdelinquent,113937.0,152.81653896451547,466.32025364293105,0.0,0.0,0.0,0.0,2704.0
loanfirstdefaultedcyclenumber,16952.0,16.268463898065125,9.00589814794928,0.0,9.0,14.0,22.0,44.0
loanmonthssinceorigination,113937.0,31.89688161001255,29.974183975717274,0.0,6.0,21.0,65.0,100.0
loannumber,113937.0,69444.47427086899,38930.47960960502,1.0,37332.0,68599.0,101901.0,136486.0
loanoriginalamount,113937.0,8337.013849759078,6245.800580170149,1000.0,4000.0,6500.0,12000.0,35000.0
monthlyloanpayment,113937.0,272.4757831082089,192.69781219688187,0.0,131.62,217.74,371.58,2251.51
lp_customerpayments,113937.0,4183.079489185251,4790.907234159033,-2.3499,1005.76,2583.83,5548.4,40702.39
lp_customerprincipalpayments,113937.0,3105.536587871368,4069.5276704781845,0.0,500.89,1587.5,4000.0,35000.0
lp_interestandfees,113937.0,1077.542901313884,1183.4141683259845,-2.3499,274.87,700.8401,1458.54,15617.03
lp_servicefees,113937.0,-54.7256410999061,60.67542476132584,-664.87,-73.18,-34.44,-13.92,32.06
lp_collectionfees,113937.0,-14.242697505639082,109.23275801049708,-9274.75,0.0,0.0,0.0,0.0
lp_grossprincipalloss,113937.0,700.446342452408,2388.5138313164202,-94.2,0.0,0.0,0.0,25000.0
lp_netprincipalloss,113937.0,681.420498939765,2357.1670679280883,-954.55,0.0,0.0,0.0,25000.0
lp_nonprincipalrecoverypayments,113937.0,25.142686484636243,275.6579373477981,0.0,0.0,0.0,0.0,21117.9
percentfunded,113937.0,0.9985835233506237,0.017918824746158607,0.7,1.0,1.0,1.0,1.0125
recommendations,113937.0,0.04802654098317491,0.3323529632843213,0.0,0.0,0.0,0.0,39.0
investmentfromfriendscount,113937.0,0.023460333342110114,0.232411981264721,0.0,0.0,0.0,0.0,33.0
investmentfromfriendsamount,113937.0,16.55075076577407,294.5454219963305,0.0,0.0,0.0,0.0,25000.0
investors,113937.0,80.4752275380254,103.23901985810484,1.0,2.0,44.0,115.0,1189.0
