listingcreationdate,creditgrade,term,loanstatus,closeddate,borrowerapr,borrowerrate,lenderyield,estimatedeffectiveyield,estimatedloss,estimatedreturn,prosperrating_numeric,prosperscore,listingcategory_numeric,borrowerstate,occupation,employmentstatusduration,isborrowerhomeowner,currentlyingroup,groupkey,datecreditpulled,creditscorerangelower,creditscorerangeupper,firstrecordedcreditline,currentcreditlines,opencreditlines,totalcreditlinespast7years,openrevolvingaccounts,openrevolvingmonthlypayment,inquirieslast6months,totalinquiries,currentdelinquencies,amountdelinquent,delinquencieslast7years,publicrecordslast10years,publicrecordslast12months,revolvingcreditbalance,bankcardutilization,availablebankcardcredit,totaltrades,tradesneverdelinquent_percentage,tradesopenedlast6months,debttoincomeratio,incomeverifiable,statedmonthlyincome,totalprosperloans,totalprosperpaymentsbilled,ontimeprosperpayments,prosperpaymentslessthanonemonthlate,prosperpaymentsonemonthpluslate,prosperprincipalborrowed,prosperprincipaloutstanding,scorexchangeattimeoflisting,loancurrentdaysdelinquent,loanfirstdefaultedcyclenumber,loanmonthssinceorigination,loannumber,loanoriginalamount,loanoriginationdate,loanoriginationquarter,monthlyloanpayment,lp_customerpayments,lp_customerprincipalpayments,lp_interestandfees,lp_servicefees,lp_collectionfees,lp_grossprincipalloss,lp_netprincipalloss,lp_nonprincipalrecoverypayments,percentfunded,recommendations,investmentfromfriendscount,investmentfromfriendsamount,investors,loanstatus_clean,target_default,credit_age_months,log_loan_amount,log_monthly_income,income_to_loan_ratio,installment_to_income_ratio,credit_utilization,has_delinquency,rating_AA,rating_B,rating_C,rating_D,rating_E,rating_HR,emp_Full-time,emp_Not available,emp_Not employed,emp_Other,emp_Part-time,emp_Retired,emp_Self-employed,"inc_$1-24,999","inc_$100,000+","inc_$25,000-49,999","inc_$50,000-74,999","inc_$75,000-99,999",inc_Not displayed,inc_Not employed,pred_prob,risk_bucket,pred_flag_threshold_0.10
2010-09-07 18:24:58.580,,36,Chargedoff,2011-05-01,0.38723,0.35,0.34,0.0799,0.24,0.0799,1.0,2.0,1,MI,Analyst,188.0,True,False,,,640.0,659.0,1997-05-30,21.0,13.0,53.0,7,583.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,15367.0,0.85,1689.0,49.0,1.0,1.0,0.36,True,6833.333333,2.0,33.0,33.0,0.0,0.0,6400.0,0.0,46.0,1166,8.0,42,44629,7500,2010-09-30,Q3 2010,339.27,828.54,243.52,585.02,-12.42,-42.5,7256.48,7256.48,100.0,1.0,0,0,0.0,80,chargedoff,1,161.6,8.922791623969637,8.829714207166164,0.9111111110666666,0.0496420036116491,0.5909090909090909,0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0,medium,1
2008-09-30 11:07:12.693,C,36,Chargedoff,2009-08-09,0.1971,0.1695,0.1595,,,,,,1,OH,Other,9.0,False,False,,2008-09-30 11:06:53.507,640.0,659.0,1993-12-01,5.0,4.0,29.0,3,78.0,1.0,10.0,0.0,0.0,51.0,1.0,0.0,1933.0,0.7,817.0,26.0,0.5,0.0,0.11,True,4916.666667,,,,,,,,,1797,10.0,65,37544,2000,2008-10-08,Q4 2008,71.26,356.3,222.04,134.26,-7.92,0.0,1777.96,1777.96,0.0,1.0,0,0,0.0,43,chargedoff,1,180.56666666666663,7.601402334583733,8.50058944231724,2.4583333335,0.0144906120779169,0.6666666666666666,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,medium,1
2011-05-26 13:37:33.577,,36,Chargedoff,2011-11-14,0.30532,0.2699,0.2599,0.2534,0.112,0.1414,3.0,8.0,7,CT,Skilled Labor,196.0,False,False,,,640.0,659.0,1994-03-05,1.0,1.0,29.0,1,17.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,932.0,0.93,68.0,20.0,0.65,0.0,0.08,True,3500.0,,,,,,,,,969,5.0,33,50232,2500,2011-06-15,Q2 2011,102.05,0.0,0.0,0.0,0.0,0.0,2500.0,2500.0,0.0,1.0,0,0,0.0,51,chargedoff,1,209.7,7.824445930877619,8.160803920954665,1.4,0.029148814624393,0.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,medium,1
2007-03-12 10:09:53.263,E,36,Chargedoff,2008-01-18,0.30564,0.29,0.28,,,,,,0,TX,Teacher,150.0,True,False,,2007-02-27 12:29:26.633,560.0,579.0,1989-10-23,7.0,6.0,37.0,4,238.0,3.0,10.0,1.0,0.0,35.0,1.0,0.0,3386.0,1.14,31.0,32.0,0.39,1.0,0.53,True,3358.333333,,,,,,,,,2364,10.0,84,8628,4000,2007-03-19,Q1 2007,167.62,872.86,354.46,518.4,-16.33,-11.25,3645.55,3645.54,0.0,1.0,0,0,0.0,41,chargedoff,1,211.63333333333333,8.294299608857235,8.119497820473208,0.83958333325,0.0498968049265624,0.75,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,medium,1
2007-04-18 14:11:08.707,A,36,Chargedoff,2009-04-09,0.15462,0.1475,0.1425,,,,,,0,WA,Professional,37.0,False,False,,2007-04-18 13:52:33.870,720.0,739.0,1997-03-17,24.0,20.0,36.0,19,311.0,14.0,23.0,2.0,204.0,0.0,0.0,0.0,2771.0,0.02,97929.0,32.0,0.96,14.0,0.11,True,9202.5,,,,,,,,,1918,23.0,82,14689,25000,2007-05-08,Q2 2007,863.58,15544.44,11108.09,4436.35,-150.4,0.0,13891.91,13891.91,0.0,1.0,0,0,0.0,306,chargedoff,1,122.8,10.12667110305036,9.127339125472776,0.3681,0.0938316944640625,0.8,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1.0,medium,1
2007-03-07 10:09:37.587,A,36,Chargedoff,2008-09-11,0.13705,0.13,0.125,,,,,,0,IA,Analyst,108.0,True,False,,2007-03-07 09:44:54.530,740.0,759.0,1993-08-04,5.0,3.0,23.0,2,39.0,0.0,1.0,0.0,0.0,19.0,1.0,1.0,1223.0,0.22,4177.0,19.0,0.63,1.0,0.2,True,3875.0,,,,,,,,,2096,18.0,84,8408,6000,2007-03-13,Q1 2007,202.16,2628.08,1769.09,858.99,-20.98,-165.7641,4230.88,4230.91,202.16,1.0,1,0,0.0,69,chargedoff,1,165.43333333333334,8.699681400989514,8.262558973010657,0.6458333333333334,0.052156862745098,0.5,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,medium,1
2008-03-05 10:01:46.090,B,36,Defaulted,2009-09-19,0.16941,0.155,0.145,,,,,,1,WI,Other,19.0,True,False,,2008-03-05 09:18:18.293,680.0,699.0,1999-11-22,2.0,0.0,29.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.65,0.0,0.11,True,1808.333333,,,,,,,,,589,18.0,72,28600,4000,2008-03-18,Q1 2008,139.64,1800.32,1218.0,582.32,-48.93,-318.85,2782.0,1464.17,847.81,1.0,0,0,0.0,58,defaulted,1,100.86666666666666,8.294299608857235,7.50071373210242,0.45208333325,0.0771775976560754,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,1.0,medium,1
2008-01-07 04:27:37.960,A,36,Chargedoff,2008-09-20,0.13915,0.125,0.115,,,,,,3,NC,Engineer - Mechanical,31.0,True,False,,2007-12-24 23:03:00.767,740.0,759.0,2005-05-27,6.0,6.0,7.0,5,196.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4157.0,0.0,5900.0,7.0,1.0,2.0,0.14,True,7276.0,,,,,,,,,2118,8.0,74,25701,24000,2008-01-22,Q1 2008,802.89,2408.67,1678.04,730.63,-58.46,0.0,22321.95,22321.96,0.0,1.0,0,0,0.0,580,chargedoff,1,31.83333333333333,10.085850775128716,8.892473968347087,0.3031666666666666,0.1103325546241583,0.8571428571428571,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0,medium,1
2007-04-12 10:27:19.967,E,36,Chargedoff,2008-05-26,0.24507,0.23,0.22,,,,,,0,CA,Administrative Assistant,44.0,False,True,C9643379247860156A00EC0,2007-04-05 19:46:32.283,560.0,579.0,1985-11-20,9.0,7.0,26.0,6,78.0,5.0,15.0,0.0,0.0,1.0,1.0,0.0,3638.0,0.87,591.0,25.0,0.84,2.0,0.22,True,5900.583333,,,,,,,,,1810,1.0,83,13372,10000,2007-04-26,Q2 2007,387.1,3136.8,1497.58,1639.22,-68.88,-898.92,8518.1,8502.42,5443.07,1.0,0,0,0.0,164,chargedoff,1,260.43333333333334,9.210440366976515,8.68297595541672,0.5900583332999999,0.0655925669701968,0.7,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,medium,1
2009-09-09 20:09:15.827,,36,Chargedoff,2012-12-22,0.29926,0.26,0.25,0.179,0.065,0.179,4.0,9.0,1,KY,Executive,104.0,True,False,,,640.0,659.0,1999-04-30,5.0,3.0,24.0,1,98.0,1.0,9.0,0.0,0.0,6.0,3.0,0.0,4859.0,0.0,0.0,14.0,0.71,0.0,0.12,True,5833.333333,,,,,,,,,565,39.0,54,38613,1000,2009-09-22,Q3 2009,40.29,1369.86,922.43,447.43,-17.19,0.0,77.59,77.57,0.0,1.0,0,0,0.0,34,chargedoff,1,126.16666666666669,6.90875477931522,8.671515285065592,5.833333333,0.0069056733135408,0.5,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,medium,1
2007-02-04 17:24:27.850,HR,36,Chargedoff,2008-08-08,0.303,0.29,0.285,,,,,,0,,Other,,False,False,,2007-02-03 20:57:08.027,520.0,539.0,1997-10-24,,,20.0,0,0.0,1.0,9.0,14.0,,3.0,0.0,,,,,,,,0.27,True,416.666667,,,,,,,,,2161,18.0,85,7286,1500,2007-02-09,Q1 2007,62.86,817.18,403.08,414.1,-7.14,0.0,1096.92,1096.92,0.0,1.0,0,0,0.0,15,chargedoff,1,113.0,7.313886831633462,6.034683667026044,0.277777778,0.1505027931759754,,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1.0,medium,1
2008-02-07 07:41:34.793,AA,36,Chargedoff,2008-12-23,0.11084,0.1039,0.1039,,,,,,1,FL,Professional,30.0,True,False,,2008-02-07 07:27:33.060,760.0,779.0,1994-04-18,4.0,5.0,6.0,5,130.0,0.0,4.0,1.0,11808.0,2.0,0.0,0.0,5420.0,0.04,102675.0,5.0,0.8,0.0,0.06,True,6875.0,,,,,,,,,2026,10.0,73,27699,10000,2008-02-22,Q1 2008,324.51,1592.55,1148.88,443.67,0.0,0.0,8851.12,8851.12,0.0,1.0,0,0,0.0,229,chargedoff,1,168.1,9.210440366976515,8.83579236650274,0.6875,0.0471945898778359,1.0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0,medium,1
2010-12-12 02:28:37.647,,36,Chargedoff,2012-08-17,0.33097,0.295,0.285,0.1698,0.108,0.1698,3.0,7.0,3,WA,Food Service Management,2.0,False,False,,,720.0,739.0,2005-08-08,9.0,8.0,21.0,7,93.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2847.0,0.26,7953.0,13.0,1.0,1.0,,False,5808.333333,,,,,,,,,692,20.0,39,46024,7500,2010-12-17,Q4 2010,316.34,4730.1,2334.46,2395.64,-81.01,0.0,5165.54,5165.54,0.0,1.0,0,0,0.0,182,chargedoff,1,65.06666666666666,8.922791623969637,8.667221098511844,0.7744444443999999,0.0544537525851763,0.8,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,medium,1
2011-10-17 13:24:58.970,,36,Chargedoff,2012-11-26,0.35643,0.3199,0.3099,0.2917,0.165,0.1267,1.0,2.0,1,CT,Teacher,169.0,True,False,,,700.0,719.0,1990-09-01,7.0,7.0,20.0,4,630.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,36267.0,0.8,8733.0,18.0,1.0,1.0,0.24,True,6250.0,,,,,,,,,499,13.0,29,54996,4000,2011-10-27,Q4 2011,174.2,1393.6,591.14,802.46,-25.07,-176.85,3408.86,3408.86,640.0,1.0,0,0,0.0,9,chargedoff,1,257.2,8.294299608857235,8.740496729931813,1.5625,0.027867541193409,0.875,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0,medium,1
2008-08-21 13:23:26.287,C,36,Chargedoff,2009-08-29,0.20868,0.1865,0.1765,,,,,,7,OH,Truck Driver,103.0,True,False,,2008-08-16 09:43:28.700,640.0,659.0,1994-10-13,11.0,10.0,23.0,8,173.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7750.0,0.54,6783.0,17.0,0.94,3.0,0.36,True,3750.0,,,,,,,,,1777,12.0,67,36102,12000,2008-08-28,Q3 2008,437.75,3064.25,1846.39,1217.86,-65.3,0.0,10153.61,10153.61,0.0,1.0,0,0,0.0,292,chargedoff,1,168.7,9.39274525863144,8.229777750081887,0.3125,0.1167022127432684,0.8333333333333334,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,medium,1
2007-05-17 09:52:35.583,D,36,Defaulted,2008-07-29,0.18726,0.18,0.17,,,,,,0,GA,Sales - Commission,1.0,True,True,C80D337515684920818AB06,2007-05-15 09:18:56.150,620.0,639.0,1988-05-28,14.0,11.0,64.0,5,236.0,1.0,16.0,0.0,0.0,5.0,1.0,0.0,5971.0,1.01,0.0,42.0,0.76,3.0,0.63,True,2321.916667,,,,,,,,,954,0.0,82,15440,5000,2007-05-30,Q2 2007,180.76,1625.68,906.7,718.98,-33.36,-571.55,4093.32,4093.3,1800.0,1.0,0,0,0.0,129,defaulted,1,230.9333333333333,8.517393171418904,7.750578859117917,0.4643833334,0.0778159641143941,0.7333333333333333,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,medium,1
2010-10-26 00:50:16.540,,36,Chargedoff,2012-02-02,0.38723,0.35,0.34,0.1823,0.142,0.1823,2.0,5.0,1,NY,Other,39.0,False,False,,,660.0,679.0,2007-05-02,5.0,4.0,6.0,4,60.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1254.0,0.5,1246.0,6.0,1.0,0.0,0.36,True,666.666667,1.0,10.0,10.0,0.0,0.0,1500.0,1119.76,-28.0,889,15.0,40,45113,4000,2010-11-03,Q4 2010,180.94,1794.4,718.38,1076.02,-30.74,0.0,3281.62,3281.62,0.0,1.0,0,0,0.0,95,chargedoff,1,42.43333333333333,8.294299608857235,6.50378904749696,0.16666666675,0.2710034946225644,0.6666666666666666,0,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,1.0,medium,1
2010-06-04 08:01:56.470,,36,Chargedoff,2012-10-17,0.37453,0.35,0.34,0.1773,0.147,0.1773,2.0,6.0,7,NV,Sales - Retail,23.0,False,False,,,620.0,639.0,1996-10-16,9.0,8.0,52.0,7,232.0,1.0,51.0,0.0,0.0,4.0,1.0,0.0,8832.0,0.98,177.0,51.0,0.7,0.0,0.34,True,2083.333333,1.0,20.0,20.0,0.0,0.0,1800.0,985.9,6.0,631,28.0,45,42975,2500,2010-06-17,Q2 2010,113.09,2601.07,1310.92,1290.15,-36.85,0.0,1189.08,1189.08,0.0,1.0,0,0,0.0,34,chargedoff,1,165.96666666666667,7.824445930877619,7.642204338739265,0.8333333332,0.0542571565735258,0.8,1,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,medium,1
2008-06-04 10:35:27.500,C,36,Chargedoff,2011-09-16,0.19906,0.177,0.167,,,,,,1,CA,Engineer - Electrical,312.0,True,False,,2008-06-04 10:27:08.080,640.0,659.0,1996-02-01,6.0,6.0,20.0,3,281.0,1.0,22.0,0.0,0.0,1.0,2.0,0.0,9801.0,0.93,835.0,16.0,0.87,1.0,0.11,True,9500.0,,,,,,,,,1028,39.0,69,32855,7500,2008-06-17,Q2 2008,270.02,9180.68,6970.12,2210.56,-124.89,0.0,529.91,529.88,0.0,1.0,0,0,0.0,188,chargedoff,1,150.23333333333332,8.922791623969637,9.15915233520675,1.2666666666666666,0.0284201662982843,0.8571428571428571,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0,medium,1
2008-04-17 22:56:12.823,A,36,Chargedoff,2010-07-27,0.1693,0.1549,0.1449,,,,,,1,WA,Police Officer/Correction Officer,20.0,True,True,,2008-04-12 20:40:10.887,720.0,739.0,1994-10-14,16.0,15.0,42.0,9,782.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,20115.0,0.54,8686.0,27.0,1.0,3.0,0.31,True,10416.666667,,,,,,,,,1443,27.0,71,30160,20000,2008-04-28,Q2 2008,698.12,15363.55,11204.41,4159.14,-267.61,0.0,8795.58,8795.59,0.0,1.0,0,0,0.0,538,chargedoff,1,164.46666666666667,9.90353755128617,9.25125836192073,0.5208333333499999,0.0670130867415284,0.8823529411764706,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0,medium,1
2010-06-07 09:48:47.573,,36,Chargedoff,2011-07-15,0.37933,0.35,0.34,0.1299,0.19,0.1299,1.0,5.0,1,OR,Postal Service,260.0,False,True,FEF83377364176536637E50,,620.0,639.0,1998-11-10,9.0,8.0,37.0,5,64.0,2.0,8.0,0.0,0.0,4.0,1.0,0.0,1654.0,0.88,46.0,30.0,0.83,3.0,0.16,True,4291.666667,1.0,26.0,11.0,15.0,0.0,3000.0,0.84,82.0,1091,13.0,45,42985,1400,2010-06-15,Q2 2010,63.33,496.64,180.55,316.09,-5.31,0.0,1219.45,1219.45,0.0,1.0,0,0,0.0,8,chargedoff,1,140.9,7.244941546337007,8.364663419507671,3.065476190714286,0.0147530672453212,0.8,1,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,medium,1
2008-01-22 07:15:09.207,HR,36,Chargedoff,2009-06-05,0.36945,0.345,0.335,,,,,,3,NC,Other,22.0,False,True,9BBE337094173775621CD34,2008-01-10 11:01:03.310,520.0,539.0,2002-08-29,0.0,0.0,3.0,0,0.0,3.0,3.0,2.0,503.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,0.0,,,,,,,,,1860,17.0,73,27091,5000,2008-02-04,Q1 2008,224.77,2472.47,1030.97,1441.5,-41.78,0.0,3969.04,3969.03,0.0,1.0,1,1,50.0,5,chargedoff,1,65.73333333333333,8.517393171418904,0.0,0.0,224.77,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.0,medium,1
2009-11-16 09:51:36.970,,36,Chargedoff,2010-10-24,0.28979,0.2665,0.2565,0.1501,0.1,0.1501,3.0,7.0,3,SC,Analyst,29.0,False,False,,,720.0,739.0,1992-02-24,4.0,4.0,5.0,4,93.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1252.0,0.02,42148.0,4.0,0.8,0.0,0.06,True,6583.333333,,,,,,,,,1355,11.0,52,39593,7500,2009-11-24,Q4 2009,304.78,1798.68,831.61,967.07,-35.72,0.0,6668.4,6668.39,0.0,1.0,0,0,0.0,251,chargedoff,1,215.83333333333331,8.922791623969637,8.792448368809266,0.8777777777333333,0.0462886650152528,0.8,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0,medium,1
2008-05-21 12:22:43.767,HR,36,Chargedoff,2009-01-29,0.32368,0.2999,0.2899,,,,,,1,WI,Skilled Labor,61.0,False,True,783C3371218786870A73D20,2008-05-13 22:06:38.203,520.0,539.0,2003-03-03,3.0,3.0,9.0,0,0.0,21.0,46.0,5.0,1142.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.42,0.0,0.13,True,4491.666667,1.0,15.0,15.0,0.0,0.0,1000.0,639.32,40.0,1989,8.0,70,31806,3000,2008-05-28,Q2 2008,127.34,367.02,112.53,254.49,-8.49,0.0,2887.47,2887.47,0.0,1.0,0,0,0.0,11,chargedoff,1,63.53333333333333,8.006700845440367,8.410201716912248,1.4972222223333336,0.0283439679456637,0.75,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,medium,1
2006-10-18 11:35:37.843,C,36,Defaulted,2008-03-30,0.11696,0.11,0.1,,,,,,0,VA,Professional,,False,True,B8A233649839847309BEDB0,,660.0,679.0,1996-06-24,,,4.0,0,0.0,6.0,16.0,0.0,,0.0,1.0,,,,,,,,0.04,True,4166.666667,,,,,,,,,2071,1.0,89,4334,4500,2006-10-31,Q4 2006,147.32,1743.34,1333.84,409.5,-19.51,-686.9,3166.15,2960.49,2083.99,1.0,0,0,0.0,22,defaulted,1,125.6,8.412054873292933,8.33511160590687,0.925925926,0.0353483164012358,,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1.0,medium,1
2008-08-01 01:42:00.820,B,36,Defaulted,2010-08-12,0.11293,0.099,0.089,,,,,,7,CA,Sales - Retail,34.0,True,True,8BAB34083705675975C9772,2008-08-01 01:40:12.270,680.0,699.0,1988-08-01,11.0,10.0,19.0,7,434.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,26535.0,0.57,9189.0,19.0,0.84,0.0,,False,0.0,1.0,7.0,7.0,0.0,0.0,1000.0,724.82,-40.0,574,24.0,67,35292,5000,2008-08-12,Q3 2008,161.1,3227.0,2630.68,596.32,-58.72,0.0,2369.3,2369.32,0.0,1.0,0,0,0.0,66,defaulted,1,243.5,8.517393171418904,0.0,0.0,161.1,0.8333333333333334,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.0,medium,1
2011-11-22 14:13:53.397,,36,Chargedoff,2013-05-22,0.29394,0.2552,0.2452,0.2392,0.119,0.1202,3.0,5.0,1,NY,Construction,155.0,True,False,,,720.0,739.0,1992-04-20,18.0,14.0,37.0,14,331.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,8477.0,0.59,4444.0,27.0,0.96,0.0,0.15,True,9166.666667,,,,,,,,,414,17.0,26,59180,2000,2012-01-20,Q1 2012,80.07,890.63,430.97,459.66,-17.43,0.0,1569.03,1569.03,0.0,1.0,0,0,0.0,2,chargedoff,1,238.5,7.601402334583733,9.123438079982025,4.5833333335,0.0087339562953592,0.7368421052631579,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0,medium,1
2007-04-06 23:07:37.940,D,36,Chargedoff,2009-11-24,0.23748,0.23,0.21,,,,,,0,CA,Other,16.0,False,True,B5F93364617561572C32B6D,2007-03-18 21:48:08.060,600.0,619.0,1998-12-04,12.0,10.0,24.0,10,1402.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,47816.0,0.89,5874.0,23.0,1.0,0.0,0.59,True,3891.666667,,,,,,,,,1688,31.0,83,13475,23500,2007-04-26,Q2 2007,909.68,23511.66,14754.94,8756.72,-324.49,-523.49,8787.08,8745.06,0.0,1.0,0,0,0.0,384,chargedoff,1,101.5,10.064798252418376,8.266849720261005,0.165602836893617,0.2336907004423967,0.7692307692307693,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,medium,1
2011-04-22 07:42:13.620,,36,Chargedoff,2012-07-28,0.35643,0.3199,0.3099,0.2917,0.183,0.1087,1.0,5.0,2,NC,Other,167.0,True,False,,,640.0,659.0,2005-06-23,6.0,5.0,10.0,3,209.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,4581.0,0.76,1419.0,8.0,0.87,1.0,0.21,True,5000.0,,,,,,,,,712,15.0,35,48904,4000,2011-04-28,Q2 2011,174.2,1727.0,682.71,1044.29,-26.3,0.0,3317.29,3317.29,0.0,1.0,0,0,0.0,45,chargedoff,1,70.96666666666667,8.294299608857235,8.517393171418904,1.25,0.0348330333933213,0.7142857142857143,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,medium,1
2008-04-14 14:40:04.917,B,36,Defaulted,2009-03-25,0.17193,0.1575,0.1475,,,,,,1,MN,Other,10.0,True,False,,2008-04-14 14:27:06.903,680.0,699.0,1988-04-28,9.0,9.0,44.0,6,381.0,2.0,5.0,2.0,5303.0,10.0,1.0,1.0,8247.0,0.6,2013.0,38.0,0.92,0.0,0.31,True,4583.333333,,,,,,,,,602,12.0,71,29994,6500,2008-04-23,Q2 2008,227.72,1366.32,881.66,484.66,-30.77,0.0,5618.34,5618.34,0.0,1.0,0,0,0.0,128,defaulted,1,243.03333333333333,8.77971129020447,8.430399972373886,0.705128205076923,0.0496735257798061,0.9,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1.0,medium,1
2012-05-10 09:13:19.777,,36,Chargedoff,2013-06-19,0.26681,0.2287,0.2187,0.2134,0.099,0.1144,3.0,4.0,3,CA,Other,80.0,False,False,,,620.0,639.0,1987-08-19,8.0,8.0,31.0,6,182.0,1.0,4.0,2.0,180.0,27.0,1.0,0.0,6277.0,0.22,18581.0,29.0,0.75,3.0,,False,7916.666667,1.0,9.0,9.0,0.0,0.0,7500.0,6240.19,-49.0,386,14.0,22,65719,7000,2012-05-17,Q2 2012,270.49,2163.92,1165.28,998.64,-43.66,0.0,5834.72,5834.72,0.0,1.0,0,0,0.0,39,chargedoff,1,301.03333333333336,8.853808274977197,8.976851828649083,1.130952381,0.0341628425868663,0.8888888888888888,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1.0,medium,1
